coverage,depth,frequency_0,frequency_1,height,hf driver,lf driver,max spl,wattage,weight,width
74.63855421686748,14.2,40.0,20000.0,24.1,0.0,12.0,126.0,2000.0,35.0,14.2
74.63855421686748,15.0,40.0,20000.0,27.1,0.0,15.0,127.0,2000.0,41.0,16.5
75.0,13.8,50.0,20000.0,23.7,1.4,12.0,132.0,2000.0,47.8,14.0
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,15.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,8.0,127.2,300.0,44.40735632183907,14.858395061728391
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,12.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,14.0,65.0,18000.0,24.0,1.5,12.0,126.0,1000.0,34.0,14.0
75.0,15.118625000000002,42.0,20000.0,25.28666666666667,1.5,15.0,127.0,1000.0,44.40735632183907,14.858395061728391
90.0,11.8,56.0,20000.0,20.4,1.4,10.0,130.0,2000.0,32.0,12.6
75.0,16.9,40.0,180.0,27.0,1.0,15.0,134.0,1500.0,53.8,17.0
105.0,10.6,59.0,20000.0,17.7,1.4,8.0,128.0,2000.0,27.0,11.0
90.0,10.1,56.0,20000.0,16.2,1.4,8.0,124.0,1000.0,21.0,10.7
75.0,12.7,49.0,20000.0,20.3,1.4,12.0,126.0,1000.0,30.3,13.8
75.0,14.0,55.0,20000.0,23.9,1.0,12.0,132.0,1500.0,38.4,14.75
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,10.0,127.2,2000.0,44.40735632183907,14.858395061728391
75.0,17.6,48.0,20000.0,27.2,1.25,15.0,135.0,1000.0,69.5,17.0
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,10.0,127.2,300.0,44.40735632183907,14.858395061728391
74.63855421686748,17.5,43.0,20000.0,28.2,2.8,15.0,130.0,1263.0526315789473,75.0,16.5
75.0,15.0,55.0,18000.0,27.0,1.5,15.0,127.0,1000.0,38.0,17.0
75.0,13.2,50.0,23000.0,25.0,1.4,12.0,125.0,1300.0,32.0,15.2
120.0,8.5,50.0,20000.0,28.1,2.0,6.5,122.0,600.0,26.2,8.2
75.0,9.6,62.0,20000.0,17.1,1.4,8.0,129.0,2000.0,20.2,10.1
75.0,18.1,40.0,20000.0,20.9,2.0,12.0,128.0,1400.0,50.7,13.6
75.0,15.31,45.0,20000.0,27.87,1.4,15.0,133.0,1400.0,41.45,17.2
75.0,15.118624999999998,52.0,20000.0,25.286666666666665,1.75,12.0,134.0,1100.0,41.0,14.858395061728398
70.0,18.1,34.0,20000.0,30.0,1.0,15.0,139.0,2000.0,55.6,17.7
75.0,14.96,45.0,20000.0,25.47,1.0,12.0,130.0,1400.0,40.34,14.96
75.0,14.0,65.0,18000.0,24.0,1.5,12.0,126.0,1000.0,34.3,14.0
75.0,28.3,44.0,20000.0,21.1,1.0,10.0,137.0,2000.0,39.5,12.4
75.0,15.118624999999998,49.0,20000.0,25.286666666666665,1.75,15.0,134.0,1100.0,48.1,14.858395061728398
67.5,14.2,45.0,26000.0,30.75,1.0,15.0,127.0,1400.0,65.0,20.5
75.0,15.118624999999998,56.0,20000.0,25.286666666666665,1.75,10.0,132.0,1100.0,30.6,14.858395061728398
74.63855421686748,20.8,36.0,144.0,23.2,0.0,18.0,119.0,2000.0,105.0,24.0
50.0,14.0,43.0,16000.0,30.0,3.0,15.0,133.0,1200.0,64.0,18.5
70.0,18.1,34.0,20000.0,30.0,1.0,15.0,139.0,2000.0,55.6,17.7
82.5,18.3,39.0,20000.0,44.3,2.8,15.0,134.0,1263.0526315789473,108.0,16.5
75.0,14.2,50.0,20000.0,25.0,1.0,12.0,129.0,1400.0,39.6,15.2
70.0,20.8,42.0,19000.0,18.6,2.0,12.0,131.0,2000.0,65.0,17.5
75.0,18.5,78.0,20000.0,11.8,0.0,10.0,115.0,100.0,44.40735632183907,12.2
75.0,28.3,44.0,20000.0,21.1,1.0,10.0,137.0,2000.0,39.5,12.4
75.0,15.5,39.0,20000.0,25.4,1.0,12.0,137.0,2000.0,47.2,16.1
65.0,12.25,45.0,18000.0,26.5,1.4,12.0,134.0,2000.0,41.0,16.0
75.0,15.0,57.0,20000.0,24.0,1.4,12.0,127.0,800.0,42.0,16.1
75.0,15.31,45.0,20000.0,27.87,1.0,15.0,130.0,1400.0,43.21,17.2
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,0.0,15.0,127.2,100.0,44.40735632183907,14.858395061728391
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,12.0,127.2,1000.0,44.40735632183907,14.858395061728391
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.35,15.0,127.2,1000.0,44.40735632183907,14.858395061728391
62.5,20.5,31.0,20000.0,35.3,1.0,15.0,143.0,2000.0,91.7,21.6
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,3.5,8.0,127.2,300.0,24.0,14.858395061728391
50.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.4,12.0,127.2,1263.0526315789473,44.40735632183907,14.858395061728391
75.0,14.96,50.98913043478261,18929.17391304348,20.75,1.0,10.0,128.0,800.0,30.86,11.93
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
62.5,12.9,55.0,20000.0,20.5,1.0,10.0,130.0,1100.0,27.75,12.0
60.0,15.15,50.0,20000.0,22.5,1.0,12.0,130.0,1100.0,31.5,13.5
75.0,11.75,50.0,20000.0,17.0,0.0,10.0,125.0,1000.0,44.40735632183907,12.0
75.0,15.5,39.0,20000.0,25.4,1.0,12.0,139.0,1300.0,47.2,16.1
62.5,20.5,31.0,20000.0,35.3,1.0,15.0,143.0,2000.0,91.7,21.6
75.0,18.0,30.0,18000.0,27.0,1.0,15.0,118.0,500.0,62.0,15.5
74.63855421686748,14.76,20.0,20000.0,23.03,1.0,12.0,127.2,800.0,28.66,12.2
50.0,14.5,48.0,20000.0,28.2,3.0,12.0,131.0,1200.0,59.0,18.6
80.0,12.0,55.0,20000.0,23.0,1.0,10.0,127.0,800.0,40.0,14.0
60.0,13.0,48.0,20000.0,20.0,1.5,10.0,129.0,600.0,43.0,13.7
74.63855421686748,24.9,40.0,160.0,20.4,0.0,15.0,133.0,2400.0,67.4,18.9
75.0,14.5,45.0,20000.0,28.3,1.0,12.0,130.0,1100.0,60.9,18.0
75.0,16.3,45.0,20000.0,28.7,1.35,15.0,124.0,1263.0526315789473,42.0,16.7
75.0,11.8,70.0,20000.0,20.9,1.0,11.9,121.0,1263.0526315789473,25.0,12.2
75.0,13.9,60.0,20000.0,24.7,1.35,12.0,123.0,1263.0526315789473,35.0,14.4
75.0,15.31,45.0,20000.0,27.87,1.4,15.0,132.0,1400.0,47.18,17.2
75.0,10.9,64.0,18000.0,17.3,2.0,8.0,120.0,1263.0526315789473,26.0,13.9
50.0,16.3,60.0,18000.0,27.3,2.0,12.0,127.2,1263.0526315789473,52.0,15.0
75.0,17.0,57.0,20000.0,28.0,1.4,15.0,127.0,800.0,52.0,18.9
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
65.0,10.79,65.0,20000.0,41.57,1.4,6.0,131.0,1400.0,58.2,7.91
82.5,16.3,60.0,18000.0,27.3,2.0,12.0,127.2,1263.0526315789473,52.0,15.0
75.0,14.96,30.0,18000.0,25.47,1.0,12.0,131.0,1400.0,48.5,14.96
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
75.0,12.9,45.0,20000.0,23.0,1.4,10.0,131.0,2000.0,30.9,15.1
75.0,15.118624999999998,42.0,20000.0,25.286666666666665,1.4,12.0,135.0,2000.0,40.6,14.858395061728398
75.0,15.118624999999998,55.0,19000.0,25.286666666666665,1.35,10.0,132.0,1000.0,29.3,14.858395061728398
75.0,15.118624999999998,50.0,19000.0,25.286666666666665,1.35,12.0,134.0,1200.0,37.9,14.858395061728398
80.0,14.0,80.0,18000.0,48.0,1.4,12.0,128.0,300.0,90.0,15.0
70.0,17.75,45.0,18000.0,47.5,1.4,12.0,136.0,300.0,89.0,14.3
70.0,17.0,45.0,19000.0,24.5,1.4,12.0,120.0,3000.0,49.0,14.5
75.0,7.0,50.0,19000.0,18.0,1.0,8.0,112.0,700.0,31.0,9.5
74.63855421686748,14.7,55.0,20000.0,20.4,1.75,10.0,134.0,2400.0,41.6,12.6
74.63855421686748,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,15.0,127.2,3200.0,44.40735632183907,14.858395061728391
75.0,15.118624999999998,88.0,21000.0,9.05,0.0,8.0,121.0,1263.0526315789473,22.0,17.17
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
74.63855421686748,11.5,70.0,18000.0,17.25,1.0,8.0,105.0,150.0,18.85,10.5
110.0,19.0,47.0,20000.0,15.0,1.0,10.0,128.0,1840.0,57.0,13.0
70.0,16.9,57.0,20000.0,25.1,1.5,12.0,136.0,2000.0,58.0,16.3
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,12.0,127.2,600.0,44.40735632183907,14.858395061728391
75.0,15.118625000000002,50.98913043478261,18929.17391304348,25.28666666666667,1.0,15.0,127.2,600.0,44.40735632183907,14.858395061728391
80.0,11.06,74.0,18000.0,20.0,1.0,10.0,93.0,1263.0526315789473,25.0,12.69
74.63855421686748,15.08,50.0,20000.0,26.97,1.36,15.0,128.0,1000.0,39.7,16.66
75.0,14.5,45.0,18000.0,28.3,1.0,15.0,130.0,1100.0,60.9,18.0
70.0,15.118625000000002,50.0,20000.0,25.28666666666667,1.0,12.0,126.0,1200.0,44.40735632183907,14.858395061728391
70.0,15.118625000000002,48.0,20000.0,25.28666666666667,1.0,15.0,128.0,1200.0,44.40735632183907,14.858395061728391
70.0,15.118625000000002,50.0,20000.0,25.28666666666667,1.0,12.0,126.0,1200.0,44.40735632183907,14.858395061728391
70.0,15.118625000000002,48.0,20000.0,25.28666666666667,1.0,15.0,128.0,1200.0,44.40735632183907,14.858395061728391
75.0,15.4,40.0,20000.0,28.8,1.4,15.0,136.0,2000.0,48.9,17.6
75.0,15.118624999999998,57.0,20000.0,25.286666666666665,1.75,8.0,130.0,1100.0,28.2,14.858395061728398
120.0,24.4,45.0,20000.0,87.2,1.0,12.0,130.0,2000.0,51.8,24.4
75.0,14.29,50.0,20000.0,25.0,1.4,12.0,131.0,1400.0,39.24,15.1
